产品名称,ASIN,URL,Listing月销量,实际价格( $ ),评分星级,评价数量,曝光占比,曝光占比,曝光占比,曝光占比,曝光占比,曝光占比,上架时间,品牌,卖家
产品名称,ASIN,,Listing月销量,实际价格( $ ),评分星级,评价数量,全部( % ),自然位( % ),品牌广告( % ),SP广告( % ),视频广告( % ),推荐( % ),上架时间,品牌,卖家
"Grounding Sheet, 90% Organic Cotton+10% Pure Silver Organic Fitted Grounded Sheet for Improved Sleep, Pain Relief - Earth Connected Bedding (Gray, (60.3 * 80 * 15.5inch))",B0DRNC5334,https://www.amazon.com/dp/B0DRNC5334/?th=1,1955,--,4.80,93,0.05,0.08,0,0,0,0,2025-04-11,HLLBLL,N/A
"6x300FT Weed Barrier Landscape Fabric Heavy Duty, 3.2oz Woven Geotextile Fabric, Ground Cover Weed Block Gardening Mat, Weed Control Garden Cloth for Driveway,Road,French Drain,Vegetable Patch",B0DQG2XJ8X,https://www.amazon.com/dp/B0DQG2XJ8X/?th=1,1861,87.99,4.40,107,0.01,0.02,0,0,0,0,2025-02-21,PALATALA,FHY20
Red Light Therapy for Body:5 Light Levels Infrared Light Heat Therapy Belt Wrap for Back/Waist/Muscle/Pain Relief 660nm & 850nm Led Beads Red Light Therapy Device with Timer,B0DQ19MLK7,https://www.amazon.com/dp/B0DQ19MLK7/?th=1,1743,33.99,4.40,113,0.01,0,0,0,1.96,0,2024-12-30,RAYOCON,Rayocon direct
"Red Light Therapy Mat for Body, 71'x 31' Red Light Therapy Blanket Red Near Infrared 660nm 850nm Full Body Pad, 1280 LEDs Infrared Light Therapy for Body for Pain Relief, Improved Sleep",B0CNX7WVX6,https://www.amazon.com/dp/B0CNX7WVX6/?th=1,1738,389.98,4.50,140,0.01,0,0,0,1.96,0,2023-11-27,GMOWNW,GMOWNW YY
Earth Grounding Fitted Sheet King Size Gray with 12% Silver Fiber & 4% Silk & 84% Organic Cotton - Gray - Soft Earth Grounding Well Bed Sheets - Grounded Conductive Bed Sheets for Better Sleep,B0CVGSSP4L,https://www.amazon.com/dp/B0CVGSSP4L/?th=1,1599,169.96,4.10,559,0.01,0,0,0.05,0,0,2024-02-12,ECOHEAL,SILVER LINE LLC
Earth Grounding Fitted Sheet King Size with 12% Silver Fiber & 4% Silk & 84% Organic Cotton - Black - Soft Earth Grounding Well Bed Sheets - Grounded Conductive Bed Sheets for Better Sleep,B0DPGLMCSY,https://www.amazon.com/dp/B0DPGLMCSY/?th=1,1599,139.96,4.20,512,0.01,0,0,0.05,0,0,2024-12-02,ECOHEAL,SILVER LINE LLC
"Grounding Sheets King, 90% Organic Cotton+ 10% Pure Silver Fiber,Grounded Bed Sheet Kit, Deep Pocket Grounded Bed Sheet, Relieves Pain - Used for Healthy Sleep Therapy (Gray, King)",B0DRW7R9RG,https://www.amazon.com/dp/B0DRW7R9RG/?th=1,1564,94.99,4.40,47,0.01,0,0,0.05,0,0,2025-01-12,Sayorg,lan zhi jiao yu
"Grounding Sheets King, 90% Organic Cotton+ 10% Pure Silver Fiber,Grounded Bed Sheet Kit, Deep Pocket Grounded Bed Sheet, Relieves Pain - Used for Healthy Sleep Therapy (Gray, Full)",B0DRW5F9SR,https://www.amazon.com/dp/B0DRW5F9SR/?th=1,1564,71.99,4.40,47,0.05,0,0,0.19,0,0,2025-01-17,Sayorg,lan zhi jiao yu
"Grounding Mat, Grounding Mat for Bed with Grounding Cord, Soft PU Leather Grounding Sleep Mat, Grounding Mat for Better Sleep, Pain and Stress Relief (27x78inch)",B0DS2G6PF1,https://www.amazon.com/dp/B0DS2G6PF1/?th=1,1536,38.59,4.30,27,0.27,0.23,0,0.42,0,0,2025-02-12,CAIGAEUO,XUANWEN
"Grounding Mat, Grounding Mat for Bed with Grounding Cord, Soft PU Leather Grounding Sleep Mat, Grounding Mat for Better Sleep, Pain and Stress Relief (54x78inch)",B0DS2CYDRT,https://www.amazon.com/dp/B0DS2CYDRT/?th=1,1536,61.99,4.30,28,0.71,0.47,0,1.44,0,0,2025-01-23,CAIGAEUO,XUANWEN
